Fuel,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015,_2016,_2017,_2018,_2019
Coal,221.2,223.8,209.2,179.7,167.4,153.7,143.2,125.8,126.8,109.7,118.2,130.6,121.8,130.9,125.4,125.8,137.7,127.2,116.5,96.7,101.8,102.5,132.1,122.1,95.3,73.3,34.5,26.2,20.7,11.9
Other solid fuels,14.6,14.1,14.7,14.8,13.6,13.7,14.6,13.1,12.6,12.5,12.2,10.3,10.8,10,10.5,10.9,11.2,10.8,10.4,9.8,9.6,8.9,10,9.5,9,8.5,7.8,7.7,7.5,7.6
Motor spirit,78.1,77.2,77.3,76.4,73.6,70.9,72.1,71.6,70.2,69.9,68.7,67,66.4,63.5,62,59.9,57.4,55.8,52.2,49.2,46,43.7,41.6,39.5,38.7,37.9,37.5,37,36.4,36.8
DERV,34.1,34.2,35.6,37.7,41.2,42.9,45.8,47.7,48.2,49.3,49.7,51.1,53.8,56.3,58.9,61.7,64.2,67,65.3,64.1,66.1,67,68.8,70.1,72.5,75.6,78.8,79.7,78.8,76.2
Gas oil,30.2,30.6,30.5,30.3,30.5,30.1,31,30.2,30,28.8,28.8,26.6,24.3,23.7,23.5,25.2,22.8,22.2,20.7,18.8,19,17.6,18.7,17.1,17.6,19.5,19.4,19.6,19.7,19.1
Fuel oil,44.7,44.2,39.9,37.5,33.7,28.9,26.6,19.9,18.2,15.5,12.2,15.4,13.8,13,12.7,12.6,10.3,10.2,9.7,8.3,7.6,6,4.6,4,3.7,3.2,3,3,2.7,2.1
Orimulsion,0.3,0.9,2.8,3.1,2.7,2.8,1.9,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burning oil,6.3,7.3,7.6,8.1,8.1,8.5,10.3,10.2,11,11.2,11.8,13.1,10.9,10.9,12.2,11.9,12.4,11.1,11.3,11.5,12.3,10,10.2,10.7,9.7,9.7,10.5,10,10.4,10.3
Aviation turbine fuel,5.4,4.3,4.2,4.4,4.2,4.2,4.2,4,4.1,4.1,4,4.2,4.4,4.5,4.4,4.5,5.1,5.2,4.6,4.1,3.8,3.7,3.4,3.3,3,2.8,2.6,2.7,2.6,2.6
Other petroleum products,2,1.9,1.9,2,2,2.1,2.1,2.2,2.1,2.1,2.1,2.3,2.2,2.2,2.3,2,1.4,1.4,1.3,1.3,1.9,1.5,1.6,1.4,1.7,1.4,1.2,1.3,1.2,1.3
Petroleum gases,15,15.9,15.4,16,16.9,17.2,17.7,16.4,16.1,16,15.2,14.6,14.2,15.4,16.3,16,16.3,16,16.4,16,16.2,15.6,13.2,12.4,11.9,12.4,12.7,13,12.8,12.1
Natural gas,109.6,118,116.6,128.5,137.4,145.7,170.2,175.6,186,200.4,206.6,206.6,205.3,206.1,209.1,202.9,192.1,194.2,200.4,185.6,199.8,166.2,156.4,155.9,142.9,146.2,163.7,159.8,161.4,160
Other gases,22.2,21,22,25,26.1,26.5,28,26.9,23,23.6,20.8,17.9,15.3,17.2,17.4,17.6,18.6,19,18.6,13.9,13.1,11.9,12.8,16.5,16.5,15,10.7,10.2,9.6,10
Other emissions,225.4,224.1,218.1,212.2,208.6,211.9,212.2,209.4,202.3,177.8,169.5,162.1,157.7,153.3,147.7,143.3,137,133.9,125.1,117.3,113.4,110.5,108.4,105.5,105.2,105,103,103.9,104.2,104.8
